image,caption_1,caption_2,caption_3,caption_4,caption_5
1048710776_bb5b0a5c7c.jpg,Several young people sitting on a rail above a crowded beach .,A group of people sit on a wall at the beach .,Crowd of people at the beach .,A group of teens sit on a wall by a beach .,a couple of several people sitting on a ledge overlooking the beach
1052358063_eae6744153.jpg,Two skateboarders .,a young boy skateboarder jumping on a platform on a skateboard .,A little boy skateboarder is doing a trick on his board while another young skateboarder watches .,A child is performing a skateboard trick while another child with a skateboard leans on a wall .,A boy takes a jump on his skateboard while another boy with a skateboard watches .
105342180_4d4a40b47f.jpg,A woman with a paddle .,A woman with a paddle sits in a boat on the water .,A woman kayaking down a river .,"A girl paddling down a large river , as seen from behind her .",A woman paddles a boat down a river .
1053804096_ad278b25f1.jpg,A girl in pigtails splashes in the shallow water .,a girl with pigtails is playing in the ocean by the beach .,A girls plays in the surf .,A young girl in pigtails plays in the water .,A girl with pigtails plays in the water .
1055623002_8195a43714.jpg,A group of kids have a pillow-fight .,Children having a pillow fight .,A group of young children playing pillow fight on a bed .,Four children are having a pillow fight .,A group of four children wearing pajamas have a pillow fight .
1055753357_4fa3d8d693.jpg,Two constructions workers sit on a beam taking a break .,Two construction workers take a seat on a steel beam .,Two construction workers are sitting up on the side of a building .,Two men take a break from construction .,Two construction workers sitting on an I-beam .
1056249424_ef2a2e041c.jpg,"Two boys , one with a yellow and orange ball , play in some water in front of a field .",The children are playing in the water .,Two boys play in a puddle .,Two children play with a balloon in mud on a sunny day .,Two kids are running and playing in some water .
1056338697_4f7d7ce270.jpg,A blond woman in a blue shirt appears to wait for a ride .,The woman in the blue dress is holding out her arm at oncoming traffic .,A blond woman is on the street hailing a taxi .,A woman with blonde hair wearing a blue tube top is waving on the side of the street .,"A woman is signaling is to traffic , as seen from behind ."
1056359656_662cee0814.jpg,a young blond girl with a magizine in her hands,Child sitting down looking at train ride brochure,A little girl looking at a brochure on train rides,A young girl sits on a seat and looks at a train pamphlet .,A young girl on a train reads a book about train rides .
1056873310_49c665eb22.jpg,Two dogs playing on a beach .,A brown dog is running after the black dog .,Two dogs run towards each other on a rocky area with water in the background .,Two dogs run across stones near a body of water .,A brown dog is running after a black dog on a rocky shore .
1057089366_ca83da0877.jpg,A kid jumps off the diving board and into the swimming pool below .,A little kid is jumping off a high dive at the pool .,A boy descends off the end of a high diving board .,The boy is jumping off a high diving board into the pool .,A child jumps off a high diving board into the pool .
1057210460_09c6f4c6c1.jpg,The man is putting on his shirt near an elevator .,A man stands by an elevator with his head down .,A man puts his shirt on near an elevator .,A guy stands by a window taking his overshirt off .,A man in a tank top stands next to a chrome door .
1057251835_6ded4ada9c.jpg,A small yellow dog runs on a beach,Light brown dog running along the beach .,A light-colored dog runs on the beach .,A white dog is running down a rocky beach .,A tan dog runs on a sandy beach .
106490881_5a2dd9b7bd.jpg,Children playing on the beach .,The boy is playing on the shore of an ocean .,A boy smiles for the camera at a beach .,A boy in his blue swim shorts at the beach .,A young boy in swimming trunks is walking with his arms outstretched on the beach .
106514190_bae200f463.jpg,a person on ski 's looks from hill over snow covered landscape,A skier is overlooking the beautiful white snow covered landscape .,A skier pauses on a mountaintop .,A skier is overlooking a snow-covered mountain .,A hiker standing high on a bluff overlooking the mountains below .
1067180831_a59dc64344.jpg,A black and white dog jumps after a yellow toy .,A dog jumps to catch a toy .,a black and white dog jumps to get the Frisbee .,A black and white dog is attempting to catch a yellow and purple object in a low cut yard .,A black dog is jumping up to catch a purple and green toy .
1067675215_7336a694d6.jpg,A shirtless man is laying down in the middle of a busy street .,A man lies on a mat in a parking lot between a brown SUV and a yellow pickup with an open door .,A man laying down in middle of street during heavy traffic .,A man in blue shorts is laying in the street .,A man in blue shorts lays down outside in a parking lot .
1067790824_f3cc97239b.jpg,A white and black dog and a brown dog in sandy terrain .,Two large dogs chasing each other at the beach .,A woolly dog chases a Doberman on a beach .,One dog is chasing another one on the beach .,The two large dogs are running through sand .
1072153132_53d2bb1b60.jpg,A multicolor dog jumping to catch a tennis ball in a grassy field .,A dog and a tennis ball .,A black and white dog catches a toy in midair .,"A dog is jumping to catch a object thrown at it ,",A dog leaps while chasing a tennis ball through a grassy field .
107318069_e9f2ef32de.jpg,A group of hot air balloons lit up at night .,Seven large balloons are lined up at nighttime near a crowd .,People are watching hot air balloons in the park .,People watching hot air balloons .,A crowd watching air balloons at night .
1075716537_62105738b4.jpg,The little boy rides his bicycle in a race .,A child with a helmet on his head rides a bike .,A young boy in a helmet rides a bike on the road .,The young boy pedals quickly at a BMX race .,A little boy rides a bike down a hill on a miniature dirt bike .
107582366_d86f2d3347.jpg,A group of people sit outdoors together at night .,A group of people sit around a table outside on a porch at night .,A group of eight people are gathered around a table at night .,A group of people gathered around in the dark .,A group of people sitting at a table in a darkened room .
1075867198_27ca2e7efe.jpg,A man in shorts with two black dogs holds a ball throwing toy at the beach .,a man playing with two black dogs on the beach,A man with two dogs on a beach,A man in a brown shirt and dark shorts plays on the beach with his two black dogs .,Man at the beach with two dogs .
1075881101_d55c46bece.jpg,A boy is covered in bubbles .,A boy covered in suds has his face wiped clean .,a boy cleans the bubbles off his face .,A child covered in foam is climbing on a black inflatable ramp .,A person covered in soapy water is getting cleaned off .
1077546505_a4f6c4daa9.jpg,A boy sliding down a slide into a pool with colorful tubes .,A boy in blue shorts slides down a slide into a pool .,A boy rides down a slide into a small backyard pool .,A child is falling off a slide onto colored balloons floating on a pool of water .,A boy in blue swimming trunks slides down a yellow slide into a wading pool with inflatable toys floating in the water .
1077931201_1e0bb83105.jpg,The man is in the pool and throwing a small boy into the air .,A man in water throwing a little boy up in the air and waiting for him to come down so he can catch him .,A man in a wetsuit is throwing a baby wearing a wetsuit up into the air .,A man in a wetsuit is throwing a toddler up in the air and is ready to catch him .,"While water droplets fly , a man throws a little boy up in the air ."
1079274291_9aaf896cc1.jpg,Two boys make faces .,two young boys making silly faces .,Two young boys look up at the camera as one sticks out his tongue .,"Two young boys are looking at the camera , one smiling , the other sticking his tongue out .",A little boy sticks his tongue out for the camera . Another boy looks on .
10815824_2997e03d76.jpg,"A man , and girl and two horses are near a contained fire .",Two people and two horses watching a fire .,A blonde horse and a blonde girl in a black sweatshirt are staring at a fire in a barrel .,A girl holding a horse 's lead behind a fire .,A girl and her horse stand by a fire .
1082252566_8c79beef93.jpg,A large skinny dog stands near two smaller dogs int the dirt .,"A bulldog , a sheep dog , and a boxer standing in a yard .",There are three dogs starring at a ball in the middle of them .,Three dogs of various sizes .,A large brown dog is pushing a small Boston terrier with his face while anouther dog watches .
1082379191_ec1e53f996.jpg,A man and a woman sitting on a dock .,A man and woman sitting on a deck next to a lake .,A shirtless man and a woman sitting on a dock .,A man and a woman are sitting on a dock together .,A lady and a man with no shirt sit on a dock .
1084040636_97d9633581.jpg,A closeup of a white dog that is laying its head on its paws .,A white dog is resting its head on a tiled floor with its eyes open .,A white dog has its head on the ground .,a large white dog lying on the floor .,A white dog rests its head on the patio bricks .
1084104085_3b06223afe.jpg,"The girl is in a harness , climbing rocks .",A woman in blue shorts and a white shirt is indoor rock climbing .,The girl is climbing a rock wall .,a woman in a yellow shirt and green shorts is climbing an artificial red wall whilst wearing a safety harness .,Woman climbing an artificial rock wall .
1087168168_70280d024a.jpg,A boy jumping on a water jumphouse,Two young kids are playing in the water on an inflated toy .,A young boy jumping and a young girl seating in an inflatable pool .,A teenage boy is jumping on an inflatable slide .,A boy is jumping on an inflatable ring and a girl is watching him
1087539207_9f77ab3aaf.jpg,Children ride a tractor in a field .,The children played on the four wheeler in the field .,The four kids are riding on an ATV in a field .,A family playing on a tractor on a beautiful day,Several children playing on a Polaris vehicle outdoors .
1088767354_2acee738cf.jpg,A woman in a red costume to the left of a man and woman standing together .,A woman wearing a red costume looks at two other people standing on a street .,The girl in the salmon colored bikini is standing next to two young people ; one is wearing a black outfit and the other is drinking pop .,A young woman in a red sequined costume and feather stands on the sidewalk .,Two young people are approached by a flamboyant young woman dressed in a red bikini and a red feathered headress .
108898978_7713be88fc.jpg,Two people wearing yellow jackets cross-country skiing .,Two men are skiing in the snow in a wooded area .,Skiiers walking up the hill through a forest .,Two skiers are sliding down a trail in the woods .,Two skiers are making their way through woodland .
108899015_bf36131a57.jpg,A lone skier is making their way up a mountain .,Two hikers climbing a snowy hill .,Two people are on a snow-covered mountain .,Skiiers at the top of a snow covered hill .,Two people climbing up a snowy mountain .
1089181217_ee1167f7af.jpg,Energetic brown dog running,A brown dog running next to grass .,A light brown dog runs down a path happily .,a brown dog running down a paved pathway,A dog is running down a road .
1089755335_0bfbfd30e6.jpg,Some people on a pier at night with one girl fishing off it .,A mother and children is fishing on a boardwalk at night .,Woman with three children fishing over boardwalk in the evening .,A woman and three children stand on a deck with a fishing pole .,A woman stands with children on a boardwalk at night overlooking the sea .
109202756_b97fcdc62c.jpg,A woman in a blue jacket rides a brown pony near water .,A young blond woman sitting atop a brown draft horse in the snowy mountains .,Woman n blue jacket sits on daft horse near a frozen lake .,A woman rides a horse near a frozen lake in the wintertime .,A woman dressed in a blue jacket and blue jeans rides a brown horse near a frozen lake and snow-covered mountain .
109202801_c6381eef15.jpg,Two draft horses pull a cart through the snow .,Two horses pull a carriage driven by a woman over snow covered ground .,Two horses pulling a sled steered by a smiling blond woman .,Two golden brown horses pull a sleigh driven by a woman in a blue coat .,Two horses are pulling a woman in a cart .
109260216_85b0be5378.jpg,A person is climbing a rock while holding onto a white rope .,A person rappels down a steep incline .,A person wearing a red vest climbs up a steep rock .,A person climbing down a sheer rock cliff using a rope,"A person climbs a tall , flat mountain while holding onto a safety rope ."
109260218_fca831f933.jpg,People stand inside a rock dome .,Spelunkers pose inside a rock cavern while bathed in sunlight from the surface .,three people sit in a cave .,Shaft of light in a cave shows three spelunkers,Three rock climbers are posing on big rocks .
1093716555_801aacef79.jpg,People camp with the mountains in the background .,A group of hikers are resting on the ground in front of some mountains .,The group of hikers is resting in front of a mountain .,Several hikers rest with their gear in front of a mountain .,a group of backpackers lay on the dry ground .
1093737381_b313cd49ff.jpg,A woman standing in front of a chalk drawing,A woman wearing a blue dress is drawing a picture of a boy and a girl on the sidewalk with sidewalk chalk .,A woman stands next to a chalk drawing in front of a barn-like structure .,A woman in a blue dress stands with a chalk portrait of two children playing by a stream .,A woman stands outside near an elaborate chalk illustration .
1094462889_f9966dafa6.jpg,A dog looking at the camera in snow .,The brown dog is out in the snow .,A tan dog stand in the snow and looks up .,a dog runs through the snow .,A brown dog plays in a deep pile of snow .
1095476286_87d4f8664e.jpg,A young boy is jumping through water being sprayed up from the ground .,a boy plays in the fountains .,A boy jumping in a fountain .,A child plays in a fountain .,A little boy playing in the water .
1095580424_76f0aa8a3e.jpg,The dog is running out of the tunnel on a dog obedience course .,Dog running out of tunnel on obstacle course,A dog runs out of a tunnel on a course .,A Corgi runs out of a tunnel .,The small brown and white dog is running out of a small tunnel .
1095590286_c654f7e5a9.jpg,two dogs running around,A blond dog and a black and white dog run in a dirt field .,Two dogs are running in a field .,A yellow dog and a black and white dog are running in the dirt .,a dog chases another dog .
1095980313_3c94799968.jpg,A little girl in a blue swimsuit is walking along a wooden fence next to a sandy beach .,A little girl with arms outstretched is posing at the beach .,Little girl in blue swimsuit standing on a handrail near a beach .,The little girl in the blue bathing suit is posing at the beach .,A young girl walks on a railing in front of the beach .
1096097967_ac305887b4.jpg,A black and white dog drinking water from a water spray .,A small white dog gets sprayed by water,A dog sticking its face into the shower from a garden hose .,A white and black dog is jumping into a pool .,A black and white dog is being soaked with a jet of water in a blue paddling pool .
1096165011_cc5eb16aa6.jpg,A small boy swimming underwater,a boy smiles underwater .,The boys smiles underwater at the pool .,A red-headed boy swimming underwater .,A smiling boy swims underwater in a pool .
1096395242_fc69f0ae5a.jpg,A young child plays with his new light-up toy .,A little boy in orange shorts playing with a toy .,A boy with a toy gun .,A young boy with his foot outstretched aims a toy at the camera in front of a fireplace .,Boy with toy gun pointed at the camera .
109671650_f7bbc297fa.jpg,A boy wearing blue and yellow walking on a cliff edge .,A young child is standing alone on some jagged rocks .,A little boy standing high in the air on a rock .,A boy in yellow shorts is standing on top of a cliff .,Child stands near edge of cliff .
109738763_90541ef30d.jpg,Rider jumps snowmobile high in rural area .,A person on a snowmobile in mid jump .,A snowmobile rider flies through the air on his or her machine in front of tall pine trees .,The man is up in the air .,A snowmobiler flies through the air .
109738916_236dc456ac.jpg,People are riding around on snowmobiles .,People pose with helmets and goggles on while riding snowmobiles .,Several people are taking a break while on a snowmobiling ride .,Two helmeted men sit on yellow snowmobiles while another man stands behind watching .,Three people and two snowmobiles .
109823394_83fcb735e1.jpg,Three people on ATVs in a brown field turn their heads to look at the camera .,Three people ride their four wheelers through the field .,Three people on ATV 's outside .,Three people drive ATVs .,three people on four wheel ATV 's in a field .
109823395_6fb423a90f.jpg,Man on an ATV catching air !,A man on a four wheeler is flying through the air .,Man jumping with all terrain vehicle,A four wheeler jumping in an empty field .,A person is riding an orange ATV in a large empty field .
109823397_e35154645f.jpg,A man on a four-wheeler jumps near a small building .,A man jumps gin the air while riding an ATV,A person dressed in a tan jacket jumps a quad over a harvested cornfield in front of a small out building .,Man on four wheeler in the air .,An ATV is airborne over a field in front of a white structure .
1100214449_d10861e633.jpg,A little boy is jumping in front of a fountain .,A little boy is playfully jumping off the side of a fountain .,A boy is jumping off the side of a running stone water fountain in front of a building .,A happy boy is jumping in front OD city fountain .,A boy in s striped shirt is jumping in front of a water fountain .
1104133405_c04a00707f.jpg,Small boy carries a soccer ball on a field .,A boy walks with a soccer ball near a fence .,A boy wearing a white t-shirt walks on the grass and carries a soccer ball .,A boy carrying a soccer ball .,A boy walks with a ball tucked under his arm .
1105959054_9c3a738096.jpg,A child painting a picture .,A young girl with braids is painting with water colors on a white paper on the wall .,A young girl painting a picture .,The child paints on a large paper with water colors .,An artist paints clouds onto a canvas .
110595925_f3395c8bd6.jpg,A cyclist is riding a bicycle on a curved road up a hill .,"Man bicycle up a road , while cows graze on a hill nearby .",The biker is riding around a curve in the road .,A man in aerodynamic gear riding a bicycle down a road around a sharp curve .,A man on a mountain bike is pedaling up a hill .
1107246521_d16a476380.jpg,A large black dog is playing in a grassy yard .,A black dog pounces to get a rope toy .,a black dog jumping to catch a rope toy,A black dog running after his rope toy .,A black dog playing fetch with a ball of rope .
1107471216_4336c9b328.jpg,There is a kid with a gun .,A young girl steadies her aim with a camera,Girl with rosy cheeks and lips holding black toy gun .,A young girl is looking through an old fashioned video camera .,A little girl is holding a cine camera in front of her face .
1110208841_5bb6806afe.jpg,"A dog jumps to catch a Frisbee , while many people watch .",An agile dog catches a Frisbee while a crowd of onlookers watches closely .,a brown and white dog catches a Frisbee in it mouth in front of a group of people .,A brown and white dug jumping up to catch a Frisbee while an audience watches .,A black and white Border Collie catches a Frisbee in front of an audience .
1112212364_0c48235fc2.jpg,Toddler sits on a pile of rocks .,A baby is sitting on and playing with smooth rocks .,A small boy is playing with rocks,A toddler sitting on a pile of rocks holding a rock at a beach .,A baby is stacking rocks on the beach .
111497985_38e9f88856.jpg,The person in the striped shirt is mountain climbing .,A kid rock climbing against the backdrop of a green valley,A woman in a striped shirt climbs up a mountain .,The person has a striped shirt on and is holding on to a rope on a mountain .,A young man climbs a rocky hill .
111537217_082a4ba060.jpg,"Man with red shoes , white shirt and grey pants climbing .",The young man with the white t-shirt and jeans is rappeling up the rock wall .,A man is rock climbing .,A man climbing the side of a cliff .,A man climbing a rock wall
111537222_07e56d5a30.jpg,Person with blue helmet and purple pants is rock climbing .,a rock climber climbs a large rock .,A man climbs a rocky wall .,A climber wearing a blue helmet and headlamp is attached to a rope on the rock face .,A woman in purple snakeskin pants climbs a rock .
1115565519_d976d4b1f1.jpg,A child playing with a fountain at the beach .,The little girl is playing with a toy in a public fountain .,A child plays with a fountain .,A little girl playing in water on a frog sculpture .,A girl looks at a fountain that sprays water .
1115679311_245eff2f4b.jpg,A dog is running on the beach .,A black dog is jumping over a log along a beach .,An animal is running on the beach .,a dog jumping over a small wall at a beach near the water .,A black dog runs along the beach and jumps over a wood barrior .
111766423_4522d36e56.jpg,A small bird sits in a person 's hand and eats seeds .,The small bird is clinging to a finger of the hand holding the seeds .,A black and white bird eating seeds out of someone 's hand,A black and white bird standing on a hand .,Black and white bird standing on hand of someone holding sunflower seeds
1117972841_2b9261f95f.jpg,A dog running fast in the sand .,A brown dog plays at the beach .,A brown dog playing in the sand .,A dog is standing in the sand .,A brown dog is running in the sand .
1118557877_736f339752.jpg,A small child wades through the water while being guided by another person .,a young boy wearing a colorful bathing suit splashing in the ocean,A little boy stands in the surf .,A young boy laughs while splashing in the ocean .,A young child splashing in water .
1119015538_e8e796281e.jpg,A small dogs ears stick up as it runs in the grass .,A playful dog is running through the grass .,A little tan dog with large ears running through the grass .,The small dog is running across the lawn .,this is a small beige dog running through a grassy field
1119418776_58e4b93eac.jpg,"A brown , black and white dog is running through a large field with its mouth open .",A dog with its mouth open running through a field torwards the camera .,A black and white dog is running through the field .,"A black , brown and white dog running through a field .",A dog running in a field .
1119463452_69d4eecd08.jpg,A girl in a pink swimsuit in a pool,A girl swimming in a pool .,A little girl swimming in a pool .,Smiling little girl swimming in outdoor pool .,A little girl in a pink bathing suit swimming in a pool .
1121416483_c7902d0d49.jpg,The girl is upside down on a bed,A small child doing a handstand on a bed .,A little girl standing on her head .,A child is standing on her head .,A young girl does a handstand on a bed with blue sheets .
112178718_87270d9b4d.jpg,Man is standing on white sand and holding a snowboard .,A man with his surfboard stands in the sand .,A man holds a surfboard on the beach .,A guy stands in the sand with a snowboard behind him .,a man holds his snowboard in the sand .
112243673_fd68255217.jpg,People on ATVs and dirt bikes are traveling along a worn path in a field surrounded by trees .,Three people ride off-road bikes through a field surrounded by trees .,Three people are riding around on ATV 's and motorcycles .,Three people on motorbikes follow a trail through dry grass .,Three people on two dirt-bikes and one four-wheeler are riding through brown grass .
1122944218_8eb3607403.jpg,A baby is holding a small black flag with a moon and a star on it .,A baby wearing a white gown waves a Muslim flag .,A baby in a white garment holds a flag with crescent moon and star .,A little toddler dressed in white is smiling while a lady helps him wave a flag .,Baby in white outfit holding black and white flag .
1124448967_2221af8dc5.jpg,Man relaxing in a folding chair on the street .,An older man sits back and relaxes on a patio outside an adobe building where many bicycles are propped .,"Topless old man wearing slippers , navy blue pants and a white hat while reclining in a chair outside .",A half naked man is sleeping on his chair outdoors .,"A shirtless man in a white cap relaxes in a deck chair , close to three parked bicycles ."
1129704496_4a61441f2c.jpg,Both dogs retrieve the play toy from the water .,A brown and white and a black and white dog hauling in a floating toy from the ocean .,Two dogs run through the water with a rope in their mouths .,Two dogs in the ocean playing with a toy,Two dogs tug at a chew toy in the surf .
1130017585_1a219257ac.jpg,Three girls make faces as one takes a drink while they stand in a busy street .,Three women on the street drinking and posing,The young people party in the streets .,"There are three young people , one dark haired holding a bottled drink , one with head tilted back and finger in her mouth , and one with spiked hair .",Three young women pose for the camera at a parade .
1130369873_d80a1aa59c.jpg,"Brown dog with tennis ball in mouth , in water and bushes .","A red dog , holding a ball , splashes through vegetation filled water .",A brown dog is running through neck-deep water carrying a tennis ball .,A brown dog swims through water outdoors with a tennis ball in its mouth .,A brown dog splashes in the water while carrying a ball in its mouth .
1130401779_8c30182e3e.jpg,Two brown dogs runs through the water .,Two dogs splash through the water .,Two brown dogs running through water .,Two brown dogs are creating large splashes as they run in a river .,Two brown dogs in the water .
